Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
113	1987.9416027069092	1000	115000	-68.2043099754192	-75.00473144907983	9505	115000
114	2005.33762383461	1000	116000	-68.2043099754192	-74.62279443199468	9588	116000
115	2022.7376432418823	1000	117000	-68.2043099754192	-74.70276433520134	9671	117000
116	2040.151654958725	1000	118000	-68.2043099754192	-74.31629052858098	9754	118000
117	2057.6295037269592	1000	119000	-68.2043099754192	-74.48984962449809	9837	119000
118	2075.0660383701324	1000	120000	-68.2043099754192	-74.23500227308423	9920	120000
119	2092.4909343719482	1000	121000	-68.2043099754192	-74.62477991182874	10003	121000
120	2109.902946949005	1000	122000	-68.2043099754192	-74.07650278450342	10086	122000
121	2127.3082048892975	1000	123000	-68.2043099754192	-74.00531897387228	10169	123000
122	2144.7092225551605	1000	124000	-68.2043099754192	-75.1039496142376	10252	124000
123	2162.1152398586273	1000	125000	-68.2043099754192	-74.12257059492639	10335	125000
124	2179.557234287262	1000	126000	-68.2043099754192	-74.04863419282793	10418	126000
125	2196.947999715805	1000	127000	-68.2043099754192	-74.54043740193687	10501	127000
126	2214.3525042533875	1000	128000	-68.2043099754192	-74.36596135212787	10584	128000
127	2231.7552268505096	1000	129000	-68.2043099754192	-74.15899189699036	10667	129000
128	2249.158360719681	1000	130000	-68.2043099754192	-74.50951021925619	10751	130000
129	2266.567682504654	1000	131000	-68.2043099754192	-73.80304607040539	10833	131000
130	2284.0541141033173	1000	132000	-68.2043099754192	-74.42120628272957	10917	132000
131	2301.5200967788696	1000	133000	-68.2043099754192	-74.41969090972475	11000	133000
132	2318.916120290756	1000	134000	-68.2043099754192	-74.16425579002222	11083	134000
133	2336.317137002945	1000	135000	-68.2043099754192	-74.40450592739745	11166	135000
134	2353.7151577472687	1000	136000	-68.2043099754192	-74.67350743130322	11249	136000
135	2371.0981874465942	1000	137000	-68.2043099754192	-74.70736259859015	11332	137000
136	2388.498207092285	1000	138000	-68.2043099754192	-74.74637592556033	11415	138000
137	2405.8982269763947	1000	139000	-68.2043099754192	-74.17614141499092	11499	139000
138	2423.2942492961884	1000	140000	-68.2043099754192	-74.73465629389386	11582	140000
139	2440.698266983032	1000	141000	-68.2043099754192	-74.9674593242648	11665	141000
140	2458.09552526474	1000	142000	-68.2043099754192	-73.49050454549388	11748	142000
141	2475.6086456775665	1000	143000	-68.2043099754192	-73.69974323223573	11831	143000
142	2493.065881729126	1000	144000	-68.2043099754192	-74.54385137060687	11914	144000
143	2510.4848911762238	1000	145000	-68.2043099754192	-74.10623666187685	11997	145000
144	2527.8979046344757	1000	146000	-68.2043099754192	-74.48016649869932	12080	146000
145	2545.390871524811	1000	147000	-68.2043099754192	-74.03013499302506	12163	147000
146	2562.8818373680115	1000	148000	-68.2043099754192	-73.61484267343671	12246	148000
147	2580.3068432807922	1000	149000	-68.2043099754192	-75.18201850794257	12329	149000
148	2597.842784881592	1000	150000	-68.2043099754192	-74.03413898049305	12412	150000
149	2615.2786955833435	1000	151000	-68.2043099754192	-74.46285083641567	12495	151000
150	2632.6827144622803	1000	152000	-68.2043099754192	-74.40972199234909	12579	152000
151	2650.1237094402313	1000	153000	-68.2043099754192	-74.4554203730931	12662	153000
152	2667.524730205536	1000	154000	-68.2043099754192	-74.14073410586086	12744	154000
153	2684.9367415905	1000	155000	-68.2043099754192	-74.21753531910701	12827	155000
154	2702.327955722809	1000	156000	-68.2043099754192	-74.46012122331419	12911	156000
155	2719.7195041179657	1000	157000	-68.2043099754192	-73.4989897549609	12994	157000
156	2737.207248687744	1000	158000	-68.2043099754192	-74.79530719187726	13077	158000
157	2754.620303630829	1000	159000	-68.2043099754192	-74.25326030524894	13160	159000
